Team,Seed,Conference,Conf_Strength_Weight,AdjEM,AdjO,AdjD,Barthag,Record,Wins,Games,eFG%,Opp_eFG%,3P%,2P%,TO%,Opp_TO%,AST_TO,OR%,DR%,FTR,Opp_FTR,Tempo,Raw_T,SOS,FT%,Opp_FT%,Quad1_Wins,Last_10_Games_Metric,Star_Player_Index,Bench_Minutes_Pct,PAKE,PASE,Talent,KenPom_Rank,Torvik_Rank,Massey_Rank,NET_Rank,2P_%_D,3P_%_D,Blk_%,Blked_%,Ast_%,Op_Ast_%,3P_Rate,3P_Rate_D,Adj_T,Avg_Hgt,Eff_Hgt,Exp,PPP_Off,PPP_Def,Elite_SOS
Houston,1,Big 12,0.96,36.8,124.8,87.9,0.982,30-4,30,34,52.7,44.9,39.8,49.0,14.6,21.7,1.28,36.1,70.7,28.2,34.1,65.0,62.4,38.6,74.1,70.9,11,0.94,8,28,0,0,75.695,1,3,1,1,43.9,30.9,15.8,6.6,44.4,55.0,34.5,43.1,61.425,76.82,79.578,2.278,1.167,0.92,38.577
Duke,1,ACC,0.92,37.2,128.5,91.3,0.981,31-3,31,34,57.4,44.5,37.7,58.0,14.4,17.7,1.75,35.2,74.8,32.1,25.4,70.0,66.6,30.6,78.4,71.5,10,0.95,9,30,0,0,80.734,2,1,2,2,43.4,30.9,10.6,9.7,58.1,51.4,45.4,37.9,65.706,79.763,82.221,0.968,1.242,0.93,30.63
Auburn,1,SEC,1.00,35.3,129.0,93.7,0.976,28-5,28,33,55.7,46.0,36.8,56.1,13.4,17.4,1.78,34.3,69.7,33.5,39.2,70.0,68.9,45.6,74.0,73.5,9,0.93,8,35,0,0,34.433,3,2,4,4,47.2,29.2,16.5,7.5,55.5,40.2,40.6,34.8,67.776,78.431,81.057,2.573,1.213,1.007,45.564
Florida,1,SEC,1.00,35.0,127.7,94.0,0.971,30-4,30,34,55.0,45.3,35.5,53.5,15.0,17.0,1.49,38.1,73.2,32.6,33.0,72.0,70.8,37.8,71.8,70.7,8,0.92,7,32,0,0,28.619,4,4,3,3,45.9,29.6,12.3,8.6,52.4,46.4,43.6,37.3,69.516,78.018,82.097,1.887,1.206,0.977,37.75
Alabama,2,SEC,1.00,31.2,127.6,96.4,0.962,25-8,25,33,56.3,47.9,35.0,59.7,16.7,13.5,1.31,34.7,72.5,29.2,33.9,74.0,76.3,46.5,71.6,70.4,10,0.91,10,30,0,0,58.572,5,5,5,6,48.8,30.8,10.1,12.2,54.1,43.8,46.2,35.1,74.645,78.074,82.581,1.819,1.187,1.06,46.471
Tennessee,2,SEC,1.00,28.2,119.3,91.1,0.957,27-7,27,34,52.8,44.4,34.0,48.8,16.0,17.8,1.48,35.3,83.4,16.0,32.0,66.0,65.5,41.3,74.3,74.0,9,0.90,5,32,0,0,51.743,6,6,6,7,46.7,27.8,16.1,9.1,60.2,46.5,43.0,45.1,63.823,77.149,81.352,2.65,1.142,0.963,41.282
Texas Tech,3,Big 12,0.96,29.3,126.0,96.7,0.955,25-8,25,33,55.5,48.0,37.9,54.3,14.8,17.4,1.63,34.3,71.5,28.5,33.5,66.0,66.4,35.2,76.4,69.5,6,0.92,7,34,0,0,36.947,7,7,6,9,48.2,31.7,8.1,8.0,58.5,45.0,44.6,34.1,65.554,76.407,79.854,1.972,1.2,1.002,35.224
Iowa St.,3,Big 12,0.96,26.6,118.9,92.3,0.948,24-9,24,33,54.6,48.4,35.8,47.5,16.0,21.8,1.59,32.2,71.1,38.5,28.9,68.0,69.5,36.7,75.7,75.0,7,0.87,7,68,0,0,35.926,8,9,9,10,47.5,33.2,10.2,9.3,53.9,55.3,36.9,40.7,68.54,77.854,81.053,2.401,1.14,0.965,36.738
Arizona,3,Big 12,0.96,27.4,123.9,96.5,0.947,22-12,22,34,52.9,47.2,32.4,45.8,16.2,18.2,1.42,35.9,74.7,33.6,32.4,72.0,70.2,44.3,78.4,71.4,6,0.88,8,30,0,0,66.268,9,9,12,12,47.2,33.6,12.0,6.7,56.7,53.2,34.6,41.9,69.862,77.892,80.498,1.92,1.156,1.025,44.259
Maryland,4,Big Ten,0.98,23.1,117.8,94.7,0.945,25-8,25,33,53.8,47.0,37.2,47.6,14.5,20.2,1.42,33.7,74.1,32.9,25.9,66.0,70.7,31.3,75.5,73.9,6,0.84,6,30,0,0,66.049,10,12,13,20,47.6,30.7,12.0,6.4,50.4,49.4,35.5,35.8,69.841,77.5,80.919,1.64,1.151,0.944,31.337
Gonzaga,7,WCC,0.84,26.9,123.3,96.4,0.944,25-8,25,33,55.7,47.5,37.7,57.8,13.2,18.2,2.09,32.7,73.6,32.7,28.6,73.0,70.5,26.1,80.1,72.8,4,0.88,8,25,0,0,61.194,11,8,4,8,49.1,30.2,8.3,8.1,61.9,48.5,33.5,40.6,70.141,77.317,80.873,2.522,1.215,0.977,26.112
Wisconsin,3,Big Ten,0.98,22.4,122.4,100.0,0.942,26-9,26,35,53.6,47.9,34.9,54.7,14.1,14.5,1.51,28.0,82.8,33.8,28.1,64.0,68.6,35.6,82.8,72.3,5,0.85,6,25,0,0,24.761,12,16,15,15,46.8,33.0,6.1,10.8,54.9,49.3,48.1,39.1,67.473,78.113,81.776,2.223,1.157,1.023,35.559
Michigan St.,2,Big Ten,0.98,27.5,116.8,89.3,0.941,27-6,27,33,53.8,46.3,37.2,47.5,14.3,14.5,1.46,32.2,75.8,30.7,32.2,68.0,69.2,34.7,78.1,72.2,8,0.89,7,30,0,0,74.743,13,11,11,11,49.1,27.9,13.3,7.8,61.6,53.4,32.7,41.4,67.859,78.039,81.913,1.752,1.125,0.968,34.707
BYU,5,Big 12,0.96,13.7,125.4,99.1,0.938,24-9,24,33,57.2,50.6,37.1,58.6,17.6,17.2,1.42,33.3,73.9,30.2,29.5,71.0,67.8,35.2,70.5,70.6,3,0.75,7,34,0,0,35.971,14,14,25,31,49.3,34.8,9.8,8.5,59.9,52.2,48.3,44.4,67.2,78.157,80.606,1.889,1.173,1.027,35.191
St. John's,2,Big East,0.93,25.4,118.6,93.2,0.936,30-4,30,34,51.7,48.8,34.3,49.9,13.5,16.0,1.43,33.8,70.5,31.9,33.7,72.0,70.4,27.9,68.9,67.0,8,0.88,8,33,0,0,64.078,15,12,8,15,45.8,31.8,15.1,8.3,53.7,55.9,30.3,40.8,70.097,78.209,80.533,2.12,1.102,0.922,27.94
Missouri,6,SEC,1.00,15.2,127.0,100.8,0.934,22-11,22,33,56.2,50.7,37.0,51.1,15.2,20.0,1.27,33.7,53.2,46.8,35.3,72.0,70.0,36.4,72.5,76.2,3,0.75,7,33,0,0,66.184,16,16,32,46,51.1,33.4,7.5,10.5,49.5,48.3,41.5,38.2,68.112,78.276,81.594,2.197,1.203,1.052,36.393
Kentucky,3,SEC,1.00,25.2,123.9,98.7,0.931,22-11,22,33,56.0,50.4,32.1,53.7,15.2,14.0,1.52,35.9,73.0,35.9,31.0,69.0,72.7,43.5,73.8,72.0,6,0.86,9,25,0,0,46.326,17,18,11,14,53.7,30.8,11.3,8.0,56.7,46.3,41.7,43.5,70.867,78.775,82.178,2.329,1.17,1.068,43.526
Purdue,4,Big Ten,0.98,25.0,125.0,100.0,0.929,22-11,22,33,56.3,52.0,30.7,55.5,15.6,17.8,1.54,31.0,73.4,34.6,28.1,64.0,66.6,38.5,73.0,72.6,7,0.87,10,25,0,0,73.946,18,18,19,13,56.4,30.7,5.3,8.8,57.7,58.0,38.1,42.7,65.042,77.045,80.639,1.484,1.17,1.068,38.46
Louisville,7,ACC,0.92,14.6,118.3,103.7,0.929,27-7,27,34,53.4,49.2,33.0,48.3,16.5,18.6,1.22,32.2,73.4,34.5,26.8,68.0,69.0,30.0,74.4,71.4,2,0.72,7,34,0,0,20.225,19,24,45,24,48.3,33.7,8.1,9.7,51.9,46.6,48.1,39.7,68.807,78.008,81.168,2.555,1.135,0.995,29.98
Kansas,6,Big 12,0.96,31.4,116.1,84.7,0.927,21-12,21,33,53.1,46.2,35.2,46.1,16.7,15.6,1.51,31.8,64.2,24.3,28.0,69.0,69.2,41.7,71.1,72.7,5,0.90,10,30,0,0,65.96,20,20,20,5,46.1,30.9,13.1,9.0,60.9,52.8,34.3,40.7,68.297,77.963,82.013,2.526,1.09,0.991,41.748
Clemson,6,ACC,0.92,23.5,118.3,94.8,0.927,27-6,27,33,53.6,48.9,37.6,49.3,15.7,20.1,1.38,33.7,76.6,32.2,27.6,67.0,65.1,26.4,76.6,69.5,5,0.81,8,28,0,0,51.614,21,21,21,19,49.3,32.2,10.4,8.1,52.3,43.7,38.4,38.3,64.261,77.87,81.701,2.503,1.148,0.988,26.367
Texas A&M,4,SEC,1.00,18.5,117.8,99.3,0.924,22-10,22,32,52.7,48.6,33.4,50.7,18.6,14.4,1.30,31.0,73.8,32.2,27.6,68.0,67.5,40.0,69.5,76.8,7,0.83,5,32,0,0,69.423,22,22,22,16,46.5,33.4,13.9,14.8,47.7,64.8,37.6,47.0,66.083,77.361,79.763,2.764,1.093,0.999,39.956
Illinois,5,Big Ten,0.98,13.7,122.2,98.5,0.923,21-12,21,33,52.3,47.3,34.7,49.0,15.8,12.7,1.30,28.9,73.2,34.6,26.8,70.0,72.3,39.3,75.9,71.2,4,0.74,8,30,0,0,74.592,23,23,17,22,46.1,33.3,9.1,8.8,51.9,45.8,46.9,30.4,71.333,78.84,82.012,1.177,1.15,1.023,39.298
Saint Mary's,8,WCC,0.84,15.0,115.0,100.0,0.922,27-5,27,32,50.9,46.0,32.6,52.3,16.0,16.6,1.59,24.9,75.1,31.4,25.0,60.0,63.5,22.7,69.5,74.7,4,0.80,8,25,0,0,48.461,24,21,24,29,45.8,31.2,10.4,7.2,57.1,54.1,33.4,31.3,61.767,78.408,81.447,1.982,1.147,0.96,22.682
UCLA,7,Big Ten,0.98,22.6,117.9,95.3,0.92,22-10,22,32,53.0,50.5,35.2,53.7,15.9,22.8,1.54,32.8,70.3,35.9,34.6,67.0,66.6,34.6,70.3,74.9,4,0.80,8,28,0,0,70.64,25,27,26,27,51.2,33.2,10.5,7.0,60.5,57.8,36.0,44.8,65.028,78.101,81.377,1.849,1.123,0.987,34.636
Michigan,5,Big Ten,0.98,20.7,115.1,94.4,0.907,25-9,25,34,54.5,46.3,33.4,45.9,19.8,16.0,1.14,33.2,73.7,34.8,28.5,67.0,70.6,37.3,72.8,73.0,5,0.80,8,34,0,0,57.267,26,26,16,18,45.9,31.3,9.3,7.5,58.5,44.9,42.5,38.9,69.422,79.111,83.403,2.239,1.101,1.002,37.294
Baylor,9,Big 12,0.96,20.8,120.5,99.7,0.903,18-14,18,32,51.5,51.2,34.9,54.3,16.1,18.8,1.33,35.6,70.1,33.5,33.5,69.0,65.4,43.0,74.6,69.9,3,0.84,8,30,0,0,56.146,27,30,24,10,49.8,35.4,8.3,11.0,53.5,59.9,40.2,40.8,64.62,76.961,79.571,1.871,1.132,1.044,42.981
Mississippi,5,SEC,1.00,17.0,117.4,100.4,0.9,22-11,22,33,51.3,50.6,33.3,48.3,12.8,20.5,1.59,25.4,76.2,34.0,29.2,70.0,69.3,41.3,73.8,70.5,4,0.77,7,35,0,0,56.397,28,28,28,30,51.6,32.7,12.4,11.2,53.5,58.3,40.2,44.0,67.977,76.185,79.496,2.701,1.105,1.027,41.324
VCU,10,Atlantic 10,0.90,20.2,116.2,96.0,0.9,27-6,27,33,52.4,44.4,33.5,54.2,16.8,20.6,1.33,36.7,70.0,30.0,36.1,68.0,66.4,16.4,74.5,72.0,2,0.80,6,34,0,0,34.315,29,31,94,95,43.6,30.6,15.6,7.7,56.5,46.1,47.4,35.3,66.134,78.096,81.568,2.233,1.146,0.938,16.375
Georgia,9,SEC,1.00,10.1,115.9,105.8,0.9,20-12,20,32,52.5,50.8,33.5,47.8,15.6,18.0,1.27,36.4,64.2,35.8,39.9,70.0,68.5,37.8,71.7,73.7,1,0.70,6,35,0,0,64.946,30,33,46,46,47.8,30.9,14.7,9.3,47.6,48.8,36.8,40.6,66.394,78.786,81.87,1.393,1.103,1.011,37.778
Marquette,7,Big East,0.93,18.0,116.7,98.5,0.898,23-10,23,33,52.0,49.9,32.5,54.9,13.5,11.7,1.48,30.1,72.8,26.1,30.2,70.0,68.1,34.2,72.3,72.8,4,0.81,9,30,0,0,62.664,31,31,31,27,51.3,31.8,10.9,8.7,49.5,60.1,46.3,39.8,67.717,77.724,80.58,2.084,1.12,0.999,34.207
Mississippi St.,8,SEC,1.00,19.6,118.3,98.8,0.889,21-12,21,33,51.7,51.9,33.3,51.5,15.1,19.0,1.44,34.1,74.6,31.6,35.4,65.0,69.7,38.3,70.0,69.5,2,0.79,6,33,0,0,58.075,32,32,32,32,50.1,36.1,14.3,8.6,53.3,53.2,42.3,44.2,67.963,77.214,80.466,2.053,1.131,1.052,38.324
Creighton,8,Big East,0.93,19.1,117.3,98.2,0.885,24-10,24,34,55.8,47.0,33.9,45.8,18.1,11.7,1.38,26.9,83.1,28.5,16.9,66.0,67.6,31.6,73.3,71.4,3,0.80,8,25,0,0,59.745,33,33,33,31,45.8,32.7,10.7,10.9,63.4,43.3,49.0,35.2,67.135,78.968,83.115,1.954,1.105,1.021,31.577
Connecticut,8,Big East,0.93,19.6,121.6,102.0,0.883,23-10,23,33,55.5,48.3,35.4,46.0,17.1,15.5,1.57,35.6,68.1,35.6,40.0,68.0,64.5,30.1,79.1,73.0,2,0.82,8,32,0,0,87.492,34,35,29,33,46.0,35.1,17.9,8.9,64.0,44.2,42.6,34.2,63.782,78.167,80.841,1.638,1.182,1.039,30.085
North Carolina,9,ACC,0.92,19.0,118.8,99.8,0.881,22-13,22,35,54.2,49.6,35.3,49.2,15.1,15.2,1.47,29.2,72.9,34.8,30.0,71.0,70.8,35.2,73.7,74.8,3,0.81,8,29,0,0,87.298,35,35,29,31,49.2,33.5,9.7,10.5,51.0,47.5,37.0,37.9,70.562,76.417,79.98,1.623,1.134,1.052,35.154
Xavier,11,Big East,0.93,18.5,116.3,97.8,0.88,21-11,21,32,53.9,50.6,33.9,51.3,16.0,17.6,1.51,25.2,74.8,25.2,28.1,70.0,69.5,28.8,79.4,71.8,1,0.77,8,28,0,0,42.959,36,37,52,42,50.5,33.9,7.2,11.3,63.9,56.0,37.4,37.2,69.015,76.997,80.414,2.524,1.115,1.013,28.812
Colorado St.,12,Mountain West,0.88,18.3,116.9,98.6,0.876,25-9,25,34,55.8,48.5,33.1,47.7,17.4,16.7,1.43,26.4,74.7,31.8,33.6,70.0,66.3,22.9,77.5,68.1,0,0.74,8,30,0,0,33.82,37,38,68,49,47.7,33.1,8.0,8.1,62.8,47.2,42.8,37.9,66.012,77.024,79.53,2.033,1.122,1.0,22.886
Oregon,6,Big Ten,0.98,17.8,115.1,97.3,0.874,24-9,24,33,52.2,49.1,34.0,50.0,16.2,17.6,1.29,29.6,73.4,33.4,27.7,68.0,68.6,36.0,76.3,72.1,5,0.78,8,32,0,0,60.009,38,25,24,26,50.0,31.7,10.1,8.8,54.4,50.3,38.6,37.4,67.652,77.427,81.554,2.452,1.099,1.023,35.999
New Mexico,10,Mountain West,0.88,8.5,110.9,102.4,0.867,25-7,25,32,51.5,50.1,31.3,53.9,17.6,18.2,1.28,37.8,63.0,33.6,35.4,72.0,72.9,24.4,68.4,66.7,2,0.72,8,30,0,0,45.924,39,40,40,42,48.2,33.8,14.3,9.5,51.5,59.5,32.2,38.3,73.074,78.318,81.232,2.047,1.089,0.964,24.388
Vanderbilt,11,SEC,1.00,17.4,118.6,101.2,0.862,20-12,20,32,51.7,52.9,34.0,48.8,14.7,15.5,1.34,32.2,71.0,34.0,39.0,67.0,70.2,36.0,74.7,72.0,3,0.68,7,28,0,0,36.79,40,42,60,41,51.5,36.9,11.4,11.4,50.1,47.3,40.2,37.5,69.566,76.255,78.997,1.973,1.13,1.061,35.986
Arkansas,10,SEC,1.00,16.5,111.9,95.4,0.862,20-13,20,33,52.7,48.3,33.3,49.5,15.6,17.5,1.24,35.5,70.6,35.5,39.9,71.0,70.4,36.6,73.4,72.5,3,0.78,8,35,0,0,74.808,41,40,38,41,48.5,31.9,15.4,7.1,53.2,48.6,36.7,39.5,69.263,78.136,81.87,1.364,1.083,1.006,36.561
UC San Diego,11,Big West,0.80,16.5,113.5,97.0,0.859,28-4,28,32,55.4,47.7,36.5,46.2,13.4,23.3,1.69,25.6,71.6,33.8,29.8,68.0,66.9,12.1,74.6,75.4,0,0.70,6,36,0,0,14.091,42,44,121,121,46.2,33.1,7.5,10.1,57.3,51.8,49.6,44.3,65.781,77.481,78.923,2.447,1.164,0.939,12.106
Oklahoma,9,SEC,1.00,16.8,117.7,100.9,0.855,20-13,20,33,54.9,51.1,37.0,51.1,17.3,18.1,1.43,31.8,68.3,39.6,35.8,66.0,70.0,39.4,79.4,72.9,2,0.75,6,32,0,0,48.517,43,42,47,41,54.9,30.5,6.8,10.4,52.0,47.3,41.9,41.9,68.427,77.138,80.403,2.256,1.126,1.069,39.435
Utah St.,10,Mountain West,0.88,17.4,122.6,105.2,0.853,25-7,25,32,56.0,51.8,33.8,52.6,16.0,20.2,1.59,34.6,63.8,37.6,36.2,69.0,67.3,23.0,70.2,71.9,1,0.77,6,32,0,0,17.856,44,49,73,89,52.6,33.8,9.4,9.5,61.1,58.4,42.3,44.4,67.63,77.29,80.475,2.077,1.185,1.047,23.021
Texas,11,SEC,1.00,16.5,116.7,100.2,0.852,19-15,19,34,52.5,48.4,36.0,48.2,14.3,16.6,1.30,29.8,69.5,29.8,39.3,68.0,68.4,37.2,74.9,70.1,1,0.76,9,30,0,0,60.878,45,48,50,44,47.5,33.3,11.7,8.2,47.5,48.3,35.4,36.2,67.283,78.026,80.717,2.185,1.13,1.04,37.234
San Diego St.,11,Mountain West,0.88,14.8,111.2,96.4,0.839,20-9,20,29,53.9,50.6,33.9,45.8,16.0,17.6,1.28,26.4,75.0,33.2,28.1,66.0,66.1,27.6,66.7,70.0,2,0.80,8,32,0,0,41.617,46,54,54,49,45.0,30.4,18.6,8.7,50.9,50.1,39.4,47.3,65.794,78.127,81.937,1.611,1.048,0.962,27.647
Liberty,12,Conference USA,0.86,14.6,112.8,98.2,0.831,25-6,25,31,58.4,45.9,28.0,48.0,15.3,16.9,1.58,18.9,73.7,30.9,26.3,63.0,66.4,13.4,65.4,73.6,2,0.81,7,30,0,0,2.365,47,60,120,120,48.0,28.0,7.8,9.1,61.2,39.4,47.7,34.4,65.369,75.67,79.4,2.265,1.115,0.971,13.412
Drake,12,Missouri Valley,0.84,14.0,112.5,98.5,0.823,28-3,28,31,53.8,51.7,35.0,54.3,18.6,22.1,1.58,36.0,89.0,43.0,35.8,66.0,59.5,12.6,70.7,72.1,3,0.80,9,25,0,0,0.2,48,58,100,100,54.3,31.8,8.5,7.7,54.2,48.0,36.8,39.1,58.599,77.41,79.116,2.226,1.132,0.984,12.625
Memphis,9,American,0.83,12.9,111.7,98.8,0.806,29-5,29,34,53.6,48.5,38.0,52.0,19.2,19.1,1.18,35.1,70.9,33.6,30.2,73.0,71.4,23.0,70.2,71.1,3,0.82,8,30,0,0,53.401,49,61,63,61,48.6,32.2,13.1,9.4,52.0,54.1,33.1,40.7,70.654,77.013,80.871,2.425,1.112,1.016,23.012
McNeese,12,Southland,0.77,6.6,113.4,106.8,0.796,25-6,25,31,53.3,47.5,35.6,46.9,16.2,21.6,1.25,34.7,68.4,35.7,31.4,72.0,65.8,12.8,70.7,70.9,1,0.70,6,35,0,0,25.961,50,63,300,300,46.9,32.2,11.8,8.8,50.1,55.0,36.7,46.6,65.249,76.833,78.891,2.515,1.144,0.974,12.768
Yale,13,Ivy League,0.87,10.2,113.9,103.7,0.746,21-7,21,28,54.8,48.8,38.5,47.3,14.4,16.1,1.58,33.2,77.7,31.8,28.7,68.0,68.8,11.6,73.6,76.6,1,0.80,8,32,0,0,9.807,51,79,82,82,47.3,33.7,11.8,7.6,53.4,58.8,32.0,48.0,67.208,77.67,79.601,1.876,1.178,1.026,11.606
Grand Canyon,13,WAC,0.83,8.5,108.5,100.0,0.732,25-7,25,32,51.2,47.0,32.6,54.3,18.4,19.1,1.42,32.5,67.8,43.9,32.2,70.0,72.6,10.4,73.5,73.1,0,0.75,7,33,0,0,26.711,52,83,88,93,46.4,32.1,13.0,8.7,52.1,48.4,33.6,34.4,71.467,77.889,80.515,2.47,1.077,0.956,10.398
High Point,13,Big South,0.78,6.6,117.7,111.1,0.726,27-5,27,32,56.4,49.1,33.8,48.9,15.3,16.5,1.24,34.0,63.7,37.6,36.3,75.0,67.2,7.0,76.4,70.5,0,0.72,6,36,0,0,17.054,53,85,83,85,48.9,32.9,7.2,8.0,44.9,43.1,39.0,36.0,66.472,77.06,80.787,2.445,1.211,1.045,6.978
Akron,13,MAC,0.84,6.9,113.7,106.8,0.672,26-6,26,32,55.4,49.5,36.6,50.6,16.6,17.2,1.46,33.3,82.8,26.8,33.7,65.0,72.4,9.8,74.9,73.0,1,0.73,8,30,0,0,16.228,54,91,104,104,50.6,31.9,9.8,7.0,58.5,44.7,45.4,38.0,71.176,75.063,77.508,2.383,1.156,1.045,9.759
Lipscomb,14,ASUN,0.83,6.0,110.7,104.0,0.672,23-9,23,32,55.9,48.6,36.7,49.9,14.4,15.9,1.49,24.0,73.5,34.0,22.3,70.0,67.3,11.7,79.6,67.1,0,0.71,6,34,0,0,0.2,55,84,97,97,49.9,31.0,7.7,10.1,54.4,39.5,47.4,37.2,66.081,76.309,80.035,2.583,1.15,1.003,11.694
Troy,14,Sun Belt,0.79,3.5,110.7,107.2,0.661,21-10,21,31,48.6,50.7,31.0,50.0,18.6,22.1,1.37,26.5,68.2,31.1,35.3,68.0,66.8,14.1,72.6,72.2,0,0.68,5,36,0,0,0.2,56,99,98,98,46.2,32.6,12.8,10.3,55.6,51.0,44.8,38.1,66.137,77.8,80.146,1.661,1.084,0.988,14.121
UNC Wilmington,14,Coastal Athletic,0.78,5.4,112.2,106.8,0.639,25-7,25,32,52.2,50.9,33.1,47.7,16.0,17.4,1.36,35.4,68.2,31.8,33.6,68.0,66.3,8.7,75.3,68.1,0,0.70,6,34,0,0,0.2,57,102,86,109,50.4,34.4,10.6,9.5,54.4,48.3,36.2,42.6,65.132,77.644,80.484,2.555,1.146,1.045,8.683
Montana,14,Big Sky,0.78,3.0,112.0,109.0,0.578,22-9,22,31,56.4,52.2,33.7,53.1,16.2,15.5,1.20,22.6,68.1,36.2,31.9,66.0,67.5,15.1,74.6,74.0,1,0.65,5,35,0,0,0.2,58,131,142,142,53.1,33.7,8.1,8.5,49.3,45.6,36.8,35.0,66.985,76.552,78.532,2.148,1.114,1.102,15.101
Robert Morris,15,Horizon League,0.82,6.5,105.9,99.4,0.524,25-8,25,33,51.3,50.3,34.9,50.7,18.5,18.8,1.25,35.3,70.8,30.0,28.7,66.0,68.7,8.2,72.0,72.6,0,0.60,5,35,0,0,0.2,59,139,148,148,49.8,34.2,11.9,9.4,60.7,51.4,36.8,35.6,67.899,76.665,79.54,1.898,1.098,1.016,8.247
Wofford,15,Southern,0.85,1.8,111.5,109.7,0.547,17-15,17,32,53.3,51.8,36.9,50.0,16.9,14.9,1.30,35.5,66.7,35.5,27.6,68.0,64.6,12.7,66.8,69.2,0,0.62,7,32,0,0,0.2,60,131,156,145,51.8,34.5,8.8,9.7,55.0,49.3,47.7,45.8,63.93,76.156,79.167,2.088,1.128,1.086,12.682
Bryant,15,America East,0.81,0.0,105.8,105.8,0.511,21-11,21,32,53.3,49.7,35.3,49.0,14.6,16.3,1.18,34.0,75.7,37.6,30.0,75.0,73.2,9.3,71.8,72.0,0,0.50,6,30,0,0,33.52,61,141,140,141,47.3,32.2,14.8,5.7,48.7,42.9,34.8,36.0,72.335,78.792,80.395,2.502,1.095,1.015,9.31
Omaha,15,Summit League,0.80,-0.2,112.2,112.4,0.596,20-12,20,32,53.5,53.1,35.1,53.5,15.7,14.9,1.23,29.2,73.5,36.4,37.7,72.0,69.1,13.0,73.3,71.9,0,0.45,5,36,0,0,0.2,62,142,132,133,53.5,35.1,7.3,8.3,49.5,51.5,38.6,44.5,67.694,77.229,79.995,2.432,1.126,1.1,13.045
Norfolk St.,16,MEAC,0.75,0.5,106.2,105.7,0.425,21-10,21,31,52.4,49.7,38.5,47.3,18.3,16.4,1.19,33.8,72.9,39.0,34.9,70.0,67.4,12.0,75.3,71.0,0,0.60,7,34,0,0,7.466,63,195,114,195,48.9,33.9,9.0,9.3,49.3,59.2,27.7,42.7,66.306,76.741,80.249,2.602,1.103,1.046,12.001
American,16,Patriot League,0.78,-5.1,101.2,106.3,0.335,20-12,20,32,51.8,52.1,35.8,53.4,16.8,17.6,1.14,23.8,74.6,25.4,31.4,64.0,63.7,8.8,75.9,69.2,0,0.52,5,35,0,0,0.2,64,244,164,226,53.1,33.6,5.3,9.5,52.1,50.4,44.8,35.7,63.442,76.377,79.635,2.039,1.045,1.052,8.755
SIU Edwardsville,16,Ohio Valley,0.78,-10.8,101.5,112.3,0.38,19-11,19,30,51.0,52.5,34.5,47.8,18.3,16.6,1.17,25.4,73.8,35.7,31.1,72.0,67.2,8.2,67.9,70.3,0,0.48,5,36,0,0,7.282,65,218,155,216,46.3,33.0,11.5,8.0,51.4,48.7,36.3,38.6,65.8,77.165,80.792,2.225,1.043,1.004,8.164
Mount St. Mary's,16,MAAC,0.77,-12.5,99.4,111.9,0.29,21-12,21,33,51.0,48.0,34.9,47.2,21.7,15.9,1.15,25.4,74.0,31.0,26.7,62.0,67.5,8.9,73.0,73.8,0,0.45,6,32,0,0,0.853,66,263,200,226,48.7,31.4,7.9,9.5,60.6,52.3,41.0,44.5,67.317,77.043,80.419,2.013,1.014,1.022,8.934
Alabama St.,16,SWAC,0.76,-19.3,100.6,119.9,0.27,18-15,18,33,50.8,56.9,32.5,46.8,18.0,18.3,1.25,23.3,76.7,22.2,31.4,70.0,69.1,11.6,69.8,69.9,0,0.40,5,36,0,0,4.049,67,274,274,274,50.4,33.4,8.4,9.1,45.4,50.3,42.9,39.5,67.626,76.5,79.666,2.346,1.041,1.046,11.608
Saint Francis,16,Northeast,0.77,-12.1,99.9,112.0,0.211,13-17,13,30,51.6,53.4,35.8,53.1,19.6,16.4,0.95,25.4,74.6,23.8,28.7,72.0,67.2,12.8,72.5,74.5,0,0.42,5,34,0,0,0.2,68,301,340,297,53.4,32.3,6.7,9.3,50.3,51.0,41.9,43.2,67.172,76.305,78.644,1.173,1.001,1.081,12.764